NAME,DISTRIBUTION,DESCRIPTION,SOURCE,NOTE
ontxY,"LN( -3.963316,0.6457913)",CFR children <5 on TB treatment,Jenkins et al 2017,
ontxO,"LN(-4.828314,0.4817445)",CFR children 5-14 on TB treatment,Jenkins et al 2017,
hivartOR:mn,"MVN: [2.6375681, -0.5683867]","ORs of death on TB treatment, (OR HIV+ vs -) x (ART -/+): mean","Jenkins et al 2017, Dodd et al 2017",
hivartOR:sg,"MVN: [[0.2325509,-0.2325509],[-0.2325509,0.6367345]]","ORs of death on TB treatment, (OR HIV+ vs -) x (ART -/+): variance","Jenkins et al 2017, Dodd et al 2017",
notxY,"LN(-0.830113,0.08035318)",CFR children <5 without TB treatment,Jenkins et al 2017,
notxO,"LN(-1.903809,0.1285165)",CFR children 5-14 without TB treatment,Jenkins et al 2017,
notxHY,"B(77.13050,11.10817)",CFR children <5 without TB treatment (HIV+/ART-),Dodd et al 2017,
notxHO,"B(19.59083,6.89700)",CFR children 5-14 without TB treatment (HIV+/ART-),Dodd et al 2017,
notxHAY,"B(15.18683,12.87500)",CFR children <5 without TB treatment (HIV+/ART+),Dodd et al 2017,
notxHAO,"B(10.43383,11.08417)",CFR children 5-14 without TB treatment (HIV+/ART+),Dodd et al 2017,
hivp,"LN(4.364,1.14)",IRR for TB incidence given HIV+/ART- (vs UNAIDS estimates),Dodd et al 2017,
hivpi,"LN(2.066863,0.2800718)",IRR for TB incidence given HIV+/ART- (for individuals),Dodd et al 2017,
artp,"LN(-1.203973,0.150482)",HR for TB incidence given HIV+/ART+ vs HIV+/ART-,Dodd et al 2016,
pp1,"B(1.5000,1.5000)","Probability of progression to TB, age <1",Marais et al 2004,
pp2,"B(1.2500,3.7500)","Probability of progression to TB, age [1,2)",Marais et al 2004,
pp3,"B(0.3300,6.2700)","Probability of progression to TB, age [2,5)",Marais et al 2004,
pp4,"B(0.1368,6.7032)","Probability of progression to TB, age [5,10)",Marais et al 2004,
pp5,"B(0.8700,4.9300)","Probability of progression to TB, age [10,15)",Marais et al 2004,
pd1,"B(1.5000,1.5000)","Probability of DTB if TB, age <1",Marais et al 2004,
pd2,"B(1.2500,3.7500)","Probability of DTB if TB, age [1,2)",Marais et al 2004,
pd3,"B(0.3300,6.2700)","Probability of DTB if TB, age [2,5)",Marais et al 2004,
pd4,"B(0.1368,6.7032)","Probability of DTB if TB, age [5,10)",Marais et al 2004,
pd5,"B(0.8700,4.9300)","Probability of DTB if TB, age [10,15)",Marais et al 2004,
dBCG,"B(1.25,2.5)",Protection of BCG against DTB,"Colditz et al 1995, Bourdin Trunz et al 2006",
pBCG,"B(4,1)",Fraction of BCG DTB protection applying to PTB,"Colditz et al 1995, Bourdin Trunz et al 2006",
vBCG,0.41,Fraction of BCG efficacy lost from pole to equator,Colditz et al 1995,
HHhivprev04,"B(55,526)",Prevalence of HIV in child HH contacts of HIV+ index case,Martinez et al 2018,
HHhivprev514,"B(54,854)",Prevalence of HIV in child HH contacts of HIV+ index case,Martinez et al 2018,
LTBI04,"B(106.7330582,193.9234438)",LTBI prevalence,Fox et al 2013,
LTBI514,"B(41.83776346,36.95275153)",LTBI prevalence,Fox et al 2013,
LTBI04hi,"B(10.62231,54.54526)",LTBI prevalence,Fox et al 2013,
LTBI514hi,"B(17.0386,75.56247)",LTBI prevalence,Fox et al 2013,
coprev04,"B(7.057890378,63.52101341)",TB prevalence,Fox et al 2013,
coprev514,"B(2.449353527,26.70961703)",TB prevalence,Fox et al 2013,
coprev04hi,"B(35.89632,727.8553)",TB prevalence,Fox et al 2013,
coprev514hi,"B(10.82599,362.4841)",TB prevalence,Fox et al 2013,
iptRR,"LN(-0.4307829,0.1616345)","RR for incident TB given IPT, age <15",Ayieko et al 2014,
iptRRtstpos,"LN(-1.049822,0.4004678)","RR for incident TB given IPT in TST+, age <15",Ayieko et al 2014,
iptRRhivpos,"LN(-1.171183,0.5127492)","RR for incident TB given IPT in HIV+, age <15",Zunza et al 2017,
