intervention,iso3,acat,e.ATT,e.ATT.hi,e.ATT.lo,e.ATTinc,e.ATTinc.hi,e.ATTinc.lo,e.ATTprev,e.ATTprev.hi,e.ATTprev.lo,e.cases,e.cases.hi,e.cases.lo,e.deathinc,e.deathinc.hi,e.deathinc.lo,e.deathprev,e.deathprev.hi,e.deathprev.lo,e.deaths,e.deaths.hi,e.deaths.lo,e.hhc,e.hhc.hi,e.hhc.lo,e.incidence,e.incidence.hi,e.incidence.lo,e.IPT,e.IPT.hi,e.IPT.lo,e.LE,e.LE.hi,e.LE.lo,e.LTBI,e.LTBI.hi,e.LTBI.lo,e.prevalent,e.prevalent.hi,e.prevalent.lo
No intervention,ABW,"[0,5)",0.037538119504541,0,0,0.0104793608904665,0,0,0.0270587586140745,0,0,0.0767374319865983,0.196899189740189,0,0.00498053398680498,0.00105144155935187,0,0.0129205803042538,0.00311967202236227,0,0.0179011142910588,0.00433263200067974,0,0,0,0,0.0213931926939537,0.039498411804577,0,0,0,0,86.7655139690644,242.237041434233,0,0.180052604637744,0.41838486082405,0,0.0553442392926446,0.142343422997368,0
No intervention,ABW,"[5,15)",0.0541271489215445,0,0,0.0139971344100701,0,0,0.0401300145114743,0,0,0.108736329638659,0.263099145353415,0,0.00219947048129494,0.000611939218420671,0,0.00650950204373362,0.00181260964034881,0,0.00870897252502856,0.00238528405673522,0,0,0,0,0.0278247349344818,0.0557597641834966,0,0,0,0,191.544143841971,533.210848141504,0,0.496143209218919,1.23984882706172,0,0.0809115947041772,0.186872647104371,0
No intervention,AFG,"[0,5)",407.504734474494,0.144166556931411,0,107.217300305644,0.0601216316015516,0,300.28743416885,0.0782798959994739,0,849.166199407615,2031.85822617387,0,55.2834551471028,12.8330496670017,0,148.446256643589,37.3488054834836,0,203.729711790692,50.696983201162,0,0,0,0,226.981038760432,479.897022396653,0,0,0,0,375845.145701349,1059109.60629291,0,1967.71107930023,5402.68834211927,0,622.185160647183,1375.73833631435,0
No intervention,AFG,"[5,15)",709.944618550602,0.157302605481249,0,175.896441075007,0.0639572480996178,0,534.048177475595,0.0855783404333904,0,1412.77083814059,2796.57517764311,0,28.060534530221,7.09779431118335,0,83.3437202504648,21.2350571499585,0,111.404254780686,29.5817381203451,0,0,0,0,352.866218054719,732.45312605591,0,0,0,0,748900.578628589,2124427.24057094,0,6216.32592971668,16729.4775320829,0,1059.90462008588,1716.52386749168,0
No intervention,AGO,"[0,5)",1042.47712574548,2194.20875989768,0,302.239044731767,550.524318672208,0,740.238081013714,1468.52671006159,0,2571.63176637985,6049.22631038626,0,213.077389276268,388.909441893763,0,499.676530456366,1053.34295014675,0,712.753919732634,1560.43634547792,0,0,0,0,746.018885202122,1517.12965422258,0,0,0,0,993862.112169797,2771167.62659015,0,5893.95466436726,15887.2547149299,0,1825.61288117773,4012.61522085904,0
No intervention,AGO,"[5,15)",3019.33935970723,5547.25806492496,0,804.068886453283,1482.84751880802,0,2215.27047325395,3539.80535331327,0,3713.81990709438,7313.32634167351,0,42.2995104751526,49.7770003377845,0,99.9618103389552,90.0449146716572,0,142.261320814108,139.575212095194,0,0,0,0,988.745584521834,1979.93368972196,0,0,0,0,1804941.79762916,5080634.0230981,0,15988.7109927664,43227.7587483116,0,2725.07432257254,4469.01695056538,0
No intervention,AIA,"[0,5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No intervention,AIA,"[5,15)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No intervention,ALB,"[0,5)",0.762968111004442,1.71339004563457,0,0.193670817223791,0.375128582807061,0,0.569297293780651,1.17733057487953,0,3.88300726380486,9.20366019340104,0,0.349907637820755,0.703344739791301,0,1.0292343155251,2.20109267150261,0,1.37914195334585,3.18986299108098,0,0,0,0,0.986697338824519,1.9946419672324,0,0,0,0,2139.55382753112,5978.94940146853,0,9.18941499827123,24.7475581268095,0,2.89630992498034,6.36193959255582,0
No intervention,ALB,"[5,15)",3.41557669699224,6.48165558649809,0,0.776765307403205,1.51981119461715,0,2.63881138958903,4.08441891156838,0,5.25219332143419,10.1920793505872,0,0.0690108472974534,0.122994861852251,0,0.23828184227443,0.336045276020066,0,0.307292689571884,0.513155193962907,0,0,0,0,1.18695351422101,2.43317877134079,0,0,0,0,3439.32640538035,9663.89634413199,0,23.3778969389735,62.5030418070035,0,4.06523980721318,6.41680609745117,0
No intervention,AND,"[0,5)",0.00560043651848329,0,0,0.001420366751696,0,0,0.00418006976678729,0,0,0.0113540552919992,0.0283691590904996,0,0.000670959722157564,0.000138187610011503,0,0.00195589809075566,0.000450113379285862,0,0.00262685781291322,0.000591406095599818,0,0,0,0,0.00288821169845555,0.00545057780852896,0,0,0,0,13.8837700176201,36.537060891956,0,0.0283798968851543,0.0653861373448574,0,0.0084658435935437,0.0212104154028178,0
